Retailer country,Order method type,Retailer type,Product line,Product type,Product,Year,Quarter,Revenue,Quantity,Gross margin
United States,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Canteen,2013,Q1 2013,38110.38,3502,0.41877462
United States,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,2013,Q1 2013,72741.6,3108,0.31936553
United States,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2013,Q1 2013,35910.72,674,0.34365616
United States,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,2013,Q1 2013,70487.56,572,0.35437799
United States,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Single Flame,2013,Q1 2013,95335.29,1503,0.26880025
United States,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Utensils,2013,Q1 2013,34916.52,1844,0.47188322
United States,Web,Department Store,Camping Equipment,Tents,Star Lite,2013,Q1 2013,199720.16,568,0.28900518
United States,Web,Department Store,Camping Equipment,Tents,Star Dome,2013,Q1 2013,85332.3,138,0.35958599
United States,Web,Department Store,Camping Equipment,Tents,Star Gazer 2,2013,Q1 2013,422167.9,763,0.2904934
United States,Web,Department Store,Camping Equipment,Tents,Star Gazer 3,2013,Q1 2013,89781.38,127,0.35779557
United States,Web,Department Store,Camping Equipment,Tents,Star Gazer 6,2013,Q1 2013,169912.35,215,0.37997444
United States,Web,Department Store,Camping Equipment,Tents,Star Peg,2013,Q1 2013,5029.36,2566,0.48979592
United States,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Lite,2013,Q1 2013,247868.64,2896,0.29898353
United States,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator,2013,Q1 2013,399571.71,2829,0.39111305
United States,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2013,Q1 2013,226810.88,2018,0.53244791
United States,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Pad,2013,Q1 2013,27768.48,697,0.50401606
United States,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Pillow,2013,Q1 2013,2418.05,137,0.52124646
United States,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,2013,Q1 2013,81194.68,818,0.3426355
United States,Web,Department Store,Camping Equipment,Packs,Canyon Mule Climber Backpack,2013,Q1 2013,52793.46,723,0.2810189
United States,Web,Department Store,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2013,Q1 2013,639468.44,2281,0.40551959
United States,Web,Department Store,Camping Equipment,Packs,Canyon Mule Journey Backpack,2013,Q1 2013,200117.76,568,0.39449932
United States,Web,Department Store,Camping Equipment,Packs,Canyon Mule Cooler,2013,Q1 2013,132253.16,4346,0.50708172
United States,Web,Department Store,Camping Equipment,Packs,Canyon Mule Carryall,2013,Q1 2013,107468.37,1539,0.41028211
United States,Web,Department Store,Camping Equipment,Lanterns,Firefly Lite,2013,Q1 2013,14586.03,999,0.5376912
United States,Web,Department Store,Camping Equipment,Lanterns,Firefly Mapreader,2013,Q1 2013,39385.88,2466,0.53041547
United States,Web,Department Store,Camping Equipment,Lanterns,Firefly 2,2013,Q1 2013,56660.42,2113,0.37833659
United States,Web,Department Store,Camping Equipment,Lanterns,Firefly 4,2013,Q1 2013,15132.16,514,0.38858696
